video_id,titulo,data,visualizacoes,curtidas,comentarios,duracao,perfil
l9-LzWwE9mk,"Entregamos encostas em Jardim Monte Verde, onde as fortes chuvas de 2022 causaram um forte impacto",2025-01-04T16:38:49Z,6009,878,27,PT54S,joao_campos
VJ1xYDgMtjk,"Sextou com trabalho! Vistoriando a limpeza do Canal do Arruda, no Vasco da Gama",2025-01-03T15:36:23Z,32777,2565,120,PT55S,joao_campos
wnjXrxjAci4,Frota de ambulâncias do SAMU renovada!,2024-11-08T21:12:16Z,11239,1404,74,PT1M,joao_campos
uVECBQs0oBc,"Fizemos uma campanha linda, propositiva e cheia de alegria",2024-10-06T17:52:32Z,19073,1928,82,PT1M,joao_campos
2t93uZETOwk,"Se você quer, como a gente, avançar ainda mais com o Recife, vote 4️⃣0️⃣✅",2024-10-06T02:15:50Z,21764,2018,55,PT57S,joao_campos
1xemQZIBQQg,10 coisas que eu vou fazer se continuar sendo seu prefeito,2024-09-13T12:50:45Z,5062,455,19,PT47S,joao_campos
GyqmhvgBPeY,"Pra gente governar bem, a gente precisa cuidar das pessoas",2024-09-11T23:21:33Z,2053,110,12,PT4M46S,joao_campos
-Ev8njf6CCA,"Olha só o tanto de surpresa que eu tive ao visitar a Escola Municipal do Dom, na Várzea! 🫶",2024-07-20T14:03:43Z,6004,559,22,PT1M1S,joao_campos
f_3wAIL2PH4,"Inovação simples, mas que ajuda muito na hora do banho das crianças nas creches do Recife. 🚿🧒",2024-07-15T17:17:27Z,18232,2001,85,PT32S,joao_campos
MSNjg1S5Fhk,Vem ver como tá ficando a obra da ponte que vai ligar Areias e Imbiribeira,2024-07-10T13:05:12Z,9873,299,29,PT1M15S,joao_campos
amIhEfccAiM,Comida na mesa e dignidade pra quem mais precisa 💜,2026-05-10T02:19:43Z,869,20,0,PT42S,raquel_lyra
JkesbbpXUbA,Mais proteção e acolhimento para as mulheres de Pernambuco 💜,2026-05-10T01:42:43Z,440,40,5,PT1M17S,raquel_lyra
qu4dv28yKiw,O carinho do povo que move Pernambuco 💜,2026-05-10T01:38:56Z,692,26,1,PT24S,raquel_lyra
-i3jLA3_rpY,"PE-089 requalificada: mais estrada, segurança e oportunidade pra Mata Norte 🚧💜",2026-05-09T23:46:24Z,1391,142,8,PT58S,raquel_lyra
P6WbZp3PaPg,A força de Dona Anita atravessa gerações 💜,2026-05-09T23:13:02Z,1076,148,9,PT1M42S,raquel_lyra
